timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735931220487,749,Moodle,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 749 milliseconds, but should not have lasted longer than 200 milliseconds.",85013,126,1,1,https://cse.buet.ac.bd/moodle/,637,0,548
1735931221245,47,Home,200,OK,Thread Group 1-1,text,true,,55623,247,1,1,https://cse.buet.ac.bd/home,6,0,0
1735931221245,6,Home-0,301,Moved Permanently,Thread Group 1-1,text,true,,498,124,1,1,https://cse.buet.ac.bd/home/,6,0,0
1735931221252,40,Home-1,200,OK,Thread Group 1-1,text,true,,55125,123,1,1,https://cse.buet.ac.bd/home,23,0,0
1735931221293,53,Notice,200,OK,Thread Group 1-1,text,true,,24111,261,1,1,https://cse.buet.ac.bd/home/notice,9,0,0
1735931221293,9,Notice-0,301,Moved Permanently,Thread Group 1-1,text,true,,512,131,1,1,https://cse.buet.ac.bd/home/notice/,9,0,0
1735931221302,44,Notice-1,200,OK,Thread Group 1-1,text,true,,23599,130,1,1,https://cse.buet.ac.bd/home/notice,43,0,0
1735931221347,114,/canonical.html-1,200,OK,Thread Group 1-1,text,true,,298,303,1,1,http://detectportal.firefox.com/canonical.html,114,0,76
1735931221464,33,/success.txt-2,200,OK,Thread Group 1-1,text,true,,216,320,1,1,http://detectportal.firefox.com/success.txt?ipv4,32,0,0
1735931221497,35,/success.txt-3,200,OK,Thread Group 1-1,text,true,,216,320,1,1,http://detectportal.firefox.com/success.txt?ipv6,35,0,0
1735931221533,515,/submit/firefox-desktop/newtab/1/0b409998-b105-42d2-af67-614ac43c4b76-4,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 515 milliseconds, but should not have lasted longer than 200 milliseconds.",711,2699,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/0b409998-b105-42d2-af67-614ac43c4b76,515,0,235
1735931222049,250,/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8-5,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 250 milliseconds, but should not have lasted longer than 200 milliseconds.",910,4180,1,1,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8,250,0,0
1735931222400,188,Moodle,200,OK,Thread Group 1-2,text,true,,85013,126,2,2,https://cse.buet.ac.bd/moodle/,85,0,28
1735931222300,294,/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63-6,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 294 milliseconds, but should not have lasted longer than 200 milliseconds.",768,1487,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63,294,0,0
1735931222589,69,Home,200,OK,Thread Group 1-2,text,true,,55623,247,2,2,https://cse.buet.ac.bd/home,6,0,0
1735931222589,6,Home-0,301,Moved Permanently,Thread Group 1-2,text,true,,498,124,2,2,https://cse.buet.ac.bd/home/,6,0,0
1735931222595,63,Home-1,200,OK,Thread Group 1-2,text,true,,55125,123,2,2,https://cse.buet.ac.bd/home,41,0,0
1735931222658,35,Notice,200,OK,Thread Group 1-2,text,true,,24111,261,2,2,https://cse.buet.ac.bd/home/notice,6,0,0
1735931222658,6,Notice-0,301,Moved Permanently,Thread Group 1-2,text,true,,512,131,2,2,https://cse.buet.ac.bd/home/notice/,6,0,0
1735931222664,29,Notice-1,200,OK,Thread Group 1-2,text,true,,23599,130,2,2,https://cse.buet.ac.bd/home/notice,29,0,0
1735931222694,98,/canonical.html-1,200,OK,Thread Group 1-2,text,true,,298,303,2,2,http://detectportal.firefox.com/canonical.html,98,0,59
1735931222793,36,/success.txt-2,200,OK,Thread Group 1-2,text,true,,216,320,2,2,http://detectportal.firefox.com/success.txt?ipv4,36,0,0
1735931222829,74,/success.txt-3,200,OK,Thread Group 1-2,text,true,,216,320,2,2,http://detectportal.firefox.com/success.txt?ipv6,74,0,0
1735931222595,309,/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e-7,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 309 milliseconds, but should not have lasted longer than 200 milliseconds.",922,2279,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e,309,0,0
1735931222904,237,/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7-8,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 237 milliseconds, but should not have lasted longer than 200 milliseconds.",939,2226,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7,237,0,0
1735931222905,443,/submit/firefox-desktop/newtab/1/0b409998-b105-42d2-af67-614ac43c4b76-4,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 443 milliseconds, but should not have lasted longer than 200 milliseconds.",832,2699,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/0b409998-b105-42d2-af67-614ac43c4b76,443,0,124
1735931223141,286,/submit/firefox-desktop/newtab/1/fe96a6cd-62c1-41f3-95c9-b92bbc534d37-9,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 286 milliseconds, but should not have lasted longer than 200 milliseconds.",856,2928,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/fe96a6cd-62c1-41f3-95c9-b92bbc534d37,286,0,0
1735931223349,258,/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8-5,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 258 milliseconds, but should not have lasted longer than 200 milliseconds.",707,4180,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8,258,0,0
1735931223428,397,/submit/firefox-desktop/events/1/fe4353e3-4836-4b4e-b013-f6f4875df564-10,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 397 milliseconds, but should not have lasted longer than 200 milliseconds.",877,10907,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/events/1/fe4353e3-4836-4b4e-b013-f6f4875df564,397,0,0
1735931223607,253,/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63-6,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 253 milliseconds, but should not have lasted longer than 200 milliseconds.",741,1487,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63,253,0,0
1735931223826,286,/submit/firefox-desktop/messaging-system/1/f76c77a8-c288-426e-8df5-3d6ec86a3cfb-11,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 286 milliseconds, but should not have lasted longer than 200 milliseconds.",722,2213,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/f76c77a8-c288-426e-8df5-3d6ec86a3cfb,286,0,0
1735931223861,299,/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e-7,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 299 milliseconds, but should not have lasted longer than 200 milliseconds.",758,2279,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e,299,0,0
1735931224112,264,/submit/firefox-desktop/newtab/1/569a0443-db06-4cdd-a782-e091828d542f-12,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 264 milliseconds, but should not have lasted longer than 200 milliseconds.",786,3018,2,2,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/569a0443-db06-4cdd-a782-e091828d542f,264,0,0
1735931224160,297,/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7-8,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 297 milliseconds, but should not have lasted longer than 200 milliseconds.",715,2226,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/dau-reporting/1/260da6e8-0eef-45a5-bfc0-80e2276679e7,297,0,0
1735931224396,179,Moodle,200,OK,Thread Group 1-3,text,true,,85013,126,3,3,https://cse.buet.ac.bd/moodle/,131,0,36
1735931224576,80,Home,200,OK,Thread Group 1-3,text,true,,55623,247,3,3,https://cse.buet.ac.bd/home,10,0,0
1735931224576,10,Home-0,301,Moved Permanently,Thread Group 1-3,text,true,,498,124,3,3,https://cse.buet.ac.bd/home/,10,0,0
1735931224586,70,Home-1,200,OK,Thread Group 1-3,text,true,,55125,123,3,3,https://cse.buet.ac.bd/home,60,0,0
1735931224377,301,/submit/firefox-desktop/newtab/1/50e5e397-e6f4-4472-af31-a97202d67897-13,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 301 milliseconds, but should not have lasted longer than 200 milliseconds.",910,3052,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/50e5e397-e6f4-4472-af31-a97202d67897,301,0,0
1735931224657,35,Notice,200,OK,Thread Group 1-3,text,true,,24111,261,3,3,https://cse.buet.ac.bd/home/notice,8,0,0
1735931224657,8,Notice-0,301,Moved Permanently,Thread Group 1-3,text,true,,512,131,3,3,https://cse.buet.ac.bd/home/notice/,8,0,0
1735931224665,27,Notice-1,200,OK,Thread Group 1-3,text,true,,23599,130,3,3,https://cse.buet.ac.bd/home/notice,27,0,0
1735931224693,112,/canonical.html-1,200,OK,Thread Group 1-3,text,true,,298,303,3,3,http://detectportal.firefox.com/canonical.html,111,0,31
1735931224458,347,/submit/firefox-desktop/newtab/1/fe96a6cd-62c1-41f3-95c9-b92bbc534d37-9,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 347 milliseconds, but should not have lasted longer than 200 milliseconds.",841,2928,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/fe96a6cd-62c1-41f3-95c9-b92bbc534d37,347,0,0
1735931224805,33,/success.txt-2,200,OK,Thread Group 1-3,text,true,,216,320,3,3,http://detectportal.firefox.com/success.txt?ipv4,33,0,0
1735931224839,42,/success.txt-3,200,OK,Thread Group 1-3,text,true,,216,320,3,3,http://detectportal.firefox.com/success.txt?ipv6,42,0,0
1735931224679,323,/submit/firefox-desktop/messaging-system/1/db9e1f91-b7c8-4226-b134-8e44a1478bdc-14,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 323 milliseconds, but should not have lasted longer than 200 milliseconds.",734,2250,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/db9e1f91-b7c8-4226-b134-8e44a1478bdc,323,0,0
1735931224805,244,/submit/firefox-desktop/events/1/fe4353e3-4836-4b4e-b013-f6f4875df564-10,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 244 milliseconds, but should not have lasted longer than 200 milliseconds.",853,10907,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/events/1/fe4353e3-4836-4b4e-b013-f6f4875df564,244,0,0
1735931225003,52,/-16,200,OK,Thread Group 1-1,text,true,,8001,588,3,3,https://cse.buet.ac.bd/,22,0,17
1735931225003,22,/-16-0,301,Moved Permanently,Thread Group 1-1,text,true,,571,294,3,3,http://cse.buet.ac.bd/,22,0,17
1735931225026,29,/-16-1,200,OK,Thread Group 1-1,text,true,,7430,294,3,3,https://cse.buet.ac.bd/,29,0,0
